"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 15:57:14 GMT 2024","Tue Apr 16 15:57:31 GMT 2024","17031","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 15:56:02 GMT 2024","Tue Apr 16 15:56:19 GMT 2024","17296","","","","","","[Android] Creating a New Task #4",""
"passed","Tue Apr 16 15:56:19 GMT 2024","Tue Apr 16 15:56:38 GMT 2024","18999","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 15:57:31 GMT 2024","Tue Apr 16 15:57:52 GMT 2024","20562","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 15:58:12 GMT 2024","Tue Apr 16 15:58:33 GMT 2024","21117","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 15:55:31 GMT 2024","Tue Apr 16 15:55:47 GMT 2024","15905","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 15:55:10 GMT 2024","Tue Apr 16 15:55:31 GMT 2024","20102","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 15:56:54 GMT 2024","Tue Apr 16 15:57:14 GMT 2024","20358","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 15:57:52 GMT 2024","Tue Apr 16 15:58:12 GMT 2024","20680","","","","","","[Android] Creating a New Task #10",""
"passed","Tue Apr 16 15:55:47 GMT 2024","Tue Apr 16 15:56:02 GMT 2024","15491","","","","","","[Android] Creating a New Task #3",""
"passed","Tue Apr 16 15:56:38 GMT 2024","Tue Apr 16 15:56:54 GMT 2024","15402","","","","","","[Android] Creating a New Task #6",""
