"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 17:16:09 GMT 2024","Tue Apr 16 17:16:28 GMT 2024","18542","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 17:17:03 GMT 2024","Tue Apr 16 17:17:19 GMT 2024","16734","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 17:17:40 GMT 2024","Tue Apr 16 17:18:00 GMT 2024","20317","","","","","","[Android] Creating a New Task #10",""
"passed","Tue Apr 16 17:15:04 GMT 2024","Tue Apr 16 17:15:22 GMT 2024","17907","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 17:17:19 GMT 2024","Tue Apr 16 17:17:40 GMT 2024","20440","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 17:15:52 GMT 2024","Tue Apr 16 17:16:09 GMT 2024","16879","","","","","","[Android] Creating a New Task #4",""
"passed","Tue Apr 16 17:18:00 GMT 2024","Tue Apr 16 17:18:21 GMT 2024","20797","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 17:15:22 GMT 2024","Tue Apr 16 17:15:37 GMT 2024","15327","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 17:15:37 GMT 2024","Tue Apr 16 17:15:52 GMT 2024","15115","","","","","","[Android] Creating a New Task #3",""
"passed","Tue Apr 16 17:16:42 GMT 2024","Tue Apr 16 17:17:03 GMT 2024","20152","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 17:16:28 GMT 2024","Tue Apr 16 17:16:42 GMT 2024","14856","","","","","","[Android] Creating a New Task #6",""
