"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 19:38:19 GMT 2024","Tue Apr 16 19:38:37 GMT 2024","18259","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 19:37:58 GMT 2024","Tue Apr 16 19:38:19 GMT 2024","20103","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 19:38:37 GMT 2024","Tue Apr 16 19:38:53 GMT 2024","16517","","","","","","[Android] Creating a New Task #3",""
"passed","Tue Apr 16 19:41:12 GMT 2024","Tue Apr 16 19:41:35 GMT 2024","22671","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 19:39:12 GMT 2024","Tue Apr 16 19:39:32 GMT 2024","20190","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 19:40:50 GMT 2024","Tue Apr 16 19:41:12 GMT 2024","22192","","","","","","[Android] Creating a New Task #10",""
"passed","Tue Apr 16 19:40:28 GMT 2024","Tue Apr 16 19:40:50 GMT 2024","22456","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 19:40:10 GMT 2024","Tue Apr 16 19:40:28 GMT 2024","18013","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 19:39:48 GMT 2024","Tue Apr 16 19:40:10 GMT 2024","21378","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 19:39:32 GMT 2024","Tue Apr 16 19:39:48 GMT 2024","16260","","","","","","[Android] Creating a New Task #6",""
"passed","Tue Apr 16 19:38:53 GMT 2024","Tue Apr 16 19:39:12 GMT 2024","18315","","","","","","[Android] Creating a New Task #4",""
