"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 15:45:46 GMT 2024","Tue Apr 16 15:46:06 GMT 2024","19946","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 15:46:22 GMT 2024","Tue Apr 16 15:46:44 GMT 2024","21555","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 15:46:44 GMT 2024","Tue Apr 16 15:47:02 GMT 2024","17905","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 15:46:06 GMT 2024","Tue Apr 16 15:46:22 GMT 2024","16038","","","","","","[Android] Creating a New Task #6",""
"passed","Tue Apr 16 15:47:02 GMT 2024","Tue Apr 16 15:47:24 GMT 2024","21926","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 15:47:46 GMT 2024","Tue Apr 16 15:48:08 GMT 2024","22256","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 15:44:36 GMT 2024","Tue Apr 16 15:44:55 GMT 2024","19730","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 15:45:12 GMT 2024","Tue Apr 16 15:45:28 GMT 2024","16400","","","","","","[Android] Creating a New Task #3",""
"passed","Tue Apr 16 15:44:55 GMT 2024","Tue Apr 16 15:45:12 GMT 2024","16476","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 15:45:28 GMT 2024","Tue Apr 16 15:45:46 GMT 2024","18039","","","","","","[Android] Creating a New Task #4",""
"passed","Tue Apr 16 15:47:24 GMT 2024","Tue Apr 16 15:47:46 GMT 2024","22057","","","","","","[Android] Creating a New Task #10",""
