"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 06:37:40 GMT 2024","Tue Apr 16 06:37:58 GMT 2024","18237","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 06:37:58 GMT 2024","Tue Apr 16 06:38:20 GMT 2024","22544","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 06:37:17 GMT 2024","Tue Apr 16 06:37:40 GMT 2024","22046","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 06:38:20 GMT 2024","Tue Apr 16 06:38:43 GMT 2024","22441","","","","","","[Android] Creating a New Task #10",""
"passed","Tue Apr 16 06:36:06 GMT 2024","Tue Apr 16 06:36:22 GMT 2024","16609","","","","","","[Android] Creating a New Task #3",""
"passed","Tue Apr 16 06:35:49 GMT 2024","Tue Apr 16 06:36:06 GMT 2024","16759","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 06:36:22 GMT 2024","Tue Apr 16 06:36:41 GMT 2024","18398","","","","","","[Android] Creating a New Task #4",""
"passed","Tue Apr 16 06:38:43 GMT 2024","Tue Apr 16 06:39:05 GMT 2024","22667","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 06:36:41 GMT 2024","Tue Apr 16 06:37:01 GMT 2024","20444","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 06:35:27 GMT 2024","Tue Apr 16 06:35:49 GMT 2024","21379","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 06:37:01 GMT 2024","Tue Apr 16 06:37:17 GMT 2024","16444","","","","","","[Android] Creating a New Task #6",""
