"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 15:10:51 GMT 2024","Tue Apr 16 15:11:08 GMT 2024","16817","","","","","","[Android] Creating a New Task #8",""
"passed","Tue Apr 16 15:08:50 GMT 2024","Tue Apr 16 15:09:10 GMT 2024","20103","","","","","","[Android] Creating a New Task #1",""
"passed","Tue Apr 16 15:11:49 GMT 2024","Tue Apr 16 15:12:10 GMT 2024","21030","","","","","","[Android] Creating a New Task #11",""
"passed","Tue Apr 16 15:09:41 GMT 2024","Tue Apr 16 15:09:58 GMT 2024","16920","","","","","","[Android] Creating a New Task #4",""
"passed","Tue Apr 16 15:09:10 GMT 2024","Tue Apr 16 15:09:26 GMT 2024","15544","","","","","","[Android] Creating a New Task #2",""
"passed","Tue Apr 16 15:11:08 GMT 2024","Tue Apr 16 15:11:29 GMT 2024","20543","","","","","","[Android] Creating a New Task #9",""
"passed","Tue Apr 16 15:10:31 GMT 2024","Tue Apr 16 15:10:51 GMT 2024","20240","","","","","","[Android] Creating a New Task #7",""
"passed","Tue Apr 16 15:11:29 GMT 2024","Tue Apr 16 15:11:49 GMT 2024","20336","","","","","","[Android] Creating a New Task #10",""
"passed","Tue Apr 16 15:10:16 GMT 2024","Tue Apr 16 15:10:31 GMT 2024","15022","","","","","","[Android] Creating a New Task #6",""
"passed","Tue Apr 16 15:09:58 GMT 2024","Tue Apr 16 15:10:16 GMT 2024","18626","","","","","","[Android] Creating a New Task #5",""
"passed","Tue Apr 16 15:09:26 GMT 2024","Tue Apr 16 15:09:41 GMT 2024","15066","","","","","","[Android] Creating a New Task #3",""
